S1 Distance from wall,S2 Distance from wall
20.6202,13.308
32.4098,33.2221
37.8828,19.7768
38.3197,14.0996
46.4411,35.814
34.3909,16.5769
28.9598,8.94396
16.7224,44.4823
35.8756,9.21831
10.0074,21.272
30.9511,31.6945
34.995,17.995
39.9095,17.9771
19.8339,13.5388
49.2963,5.16104
42.2326,19.9166
13.469,24.6424
48.1387,46.3519
39.4192,36.4584
10.4514,35.8604
22.2724,39.8423
47.4373,46.2323
43.7863,14.1597
40.7146,29.6619
18.378,45.722
45.9339,44.3291
27.4165,30.929
12.3241,17.326
43.9061,27.1579
25.8648,43.2024
27.319,18.0974
13.119,35.788
37.7398,11.2576
32.1399,27.159
42.716,37.5913
13.0193,14.9884
27.4336,10.4566
11.2207,21.2199
19.6163,46.9353
45.8818,32.9943
42.6572,41.8157
27.3233,20.0737
22.7447,34.6474
32.3997,16.6508
11.8053,8.26453
9.85317,34.1243
21.3619,17.9721
19.9124,9.10169
24.2297,47.0523
31.2607,16.9458
34.6436,39.28
26.9342,12.0772
44.7366,33.1549
28.2972,14.353
30.0902,24.179
42.3473,22.7475
15.9947,19.6706
37.8212,33.7394
49.318,20.2209
45.3902,11.1234
23.4855,5.24338
40.2477,39.8474
18.2155,10.1601
43.9491,37.4453
7.21231,25.2097
49.391,36.8559
14.4897,26.3252
43.9332,9.22638
9.48017,22.2303
18.5793,34.5704
41.4093,10.9266
7.31787,7.404
25.5972,40.1391
36.1434,24.9152
10.36,31.5336
31.0386,28.8455
31.777,21.2863
18.6928,44.9925
26.4463,12.6419
32.4378,28.6586
32.8516,31.8288
15.5145,42.3414
8.15406,9.44768
46.5677,12.6342
26.678,15.1471
42.2046,18.0873
21.0737,44.5225
20.4913,41.6709
34.6616,6.63473
16.5861,40.0216
33.1684,42.6247
18.867,14.9454
13.9109,32.5599
9.93797,35.3572
40.2018,37.3758
14.0159,23.0534
19.2046,24.5304
15.3948,22.3587
28.9781,11.9626
29.9929,5.65607
22.1097,22.1975
18.7434,38.1833
16.72,34.2347
29.8542,46.3816
35.8694,41.4403
36.4032,19.0378
34.065,5.27021
28.9832,42.9759
32.8301,33.9212
28.3332,23.0319
21.2969,37.349
41.0854,35.5016
11.8794,6.48017
7.86023,35.8575
13.4427,32.8531
36.5135,30.5524
5.05065,5.25691
18.7357,16.7707
34.4916,43.59
13.1523,20.361
35.0303,44.5554
34.3987,19.0953
44.8256,13.3819
12.0713,27.6557
42.3031,35.4044
45.6876,13.6
22.7535,36.773
44.1016,29.6329
38.2532,46.9618
15.4903,46.6959
29.8149,47.0039
27.2483,29.8656
47.2608,40.9841
41.6362,31.7524
34.574,49.7885
47.1133,19.6044
44.3439,31.5121
33.6997,39.1696
39.894,40.771
16.8253,32.197
26.1754,12.513
40.7971,43.9288
44.286,34.8986
23.5617,32.5391
31.8605,34.0521
29.235,11.6754
31.056,6.48335
36.541,28.3168
42.4674,28.1772
10.0692,27.0414
27.9657,7.18249
41.6458,22.3096
33.6945,25.3455
11.4792,23.5885
16.1165,23.3045
5.78555,37.2919
30.8175,41.5826
31.2207,25.1034
26.4813,49.7824
7.64255,8.34172
33.8345,31.8776
15.0171,14.8905
33.3609,46.5581
38.2072,25.8284
24.7353,43.2764
47.8698,47.701
45.4589,39.5156
20.0106,29.1534
14.8611,26.4898
47.7419,25.9776
44.7943,48.5275
13.2694,25.6118
40.1101,39.4901
45.7152,16.5913
39.2726,48.3577
19.9331,23.107
30.2353,29.9502
32.9975,13.5962
26.5082,21.2047
34.4246,46.2435
14.4811,32.2944
43.9445,9.94
21.81,13.9551
34.0934,31.6711
35.4449,31.8353
7.64872,30.2392
30.3628,15.9182
5.85098,20.4729
5.4083,46.5662
32.0642,39.6809
44.9239,46.9973
12.7879,25.1592
26.9474,40.7854
33.7554,48.4557
11.9901,18.18
44.6992,21.4713
45.4744,38.6437
26.4113,17.2844
47.5988,10.5047
43.9556,33.0438
37.34,46.6043
13.283,17.7028
12.5224,14.134
33.1756,12.9307
10.7001,15.2398
47.6116,5.62398
12.2371,10.3995
25.7831,34.1845
46.1849,9.53856
32.6402,8.17506
22.7186,27.3394
24.6463,18.193
15.9831,46.0576
30.4774,13.5819
6.56224,24.433
41.6257,38.9022
21.0372,49.9086
6.60499,28.5597
14.0426,34.7806
36.4904,19.7427
45.0205,34.102
20.3667,7.25756
39.5016,41.1499
36.4421,35.6865
45.6884,19.0823
38.8615,18.407
41.4217,13.5079
31.6,7.40477
9.56544,12.0774
15.9867,11.1277
31.5103,7.61235
45.0299,47.5476
7.521,46.6349
26.1073,16.5636
31.4155,12.5977
31.3063,26.436
41.6997,46.673
28.6935,31.2013
37.8229,15.1356
16.8877,33.5113
29.2179,5.74928
46.9183,20.6396
14.2571,28.5183
23.0443,18.8226
35.5957,34.031
24.9502,17.106
36.6434,19.9801
14.6536,39.1644
16.615,35.7608
5.72799,43.0305
43.3585,32.0343
19.4665,35.0582
28.7074,43.16
16.2595,16.5303
8.2956,28.1472
45.0416,32.5135
28.8965,41.9599
48.1531,38.1536
20.4782,21.1974
6.97619,6.07384
5.22843,26.9264
18.1799,36.8718
41.9066,27.8334
26.0362,8.5216
13.5943,26.7642
46.5521,6.95276
8.79849,16.0186
37.011,32.5059
9.17863,48.2704
44.0361,12.4742
26.4176,39.0777
39.9877,5.31411
31.0376,38.1408
38.4677,46.5157
9.33819,40.4439
47.5896,9.56661
17.3703,15.7694
41.4384,9.27692
38.6029,17.4746
12.7985,47.1971
39.2388,9.35066
49.1499,43.0373
20.3693,36.1609
25.5431,24.5479
34.4313,19.5792
32.0221,10.8489
8.65693,22.0099
11.163,34.6945
10.1507,44.6307
31.2102,14.4888
35.0746,28.7998
19.0555,47.445
39.5693,10.4939
6.72192,28.1721
22.9685,14.5204
25.3692,12.2073
18.8711,24.5191
5.24457,34.2404
10.68,25.7877
8.78831,40.1113
40.367,35.8105
45.9602,44.0239
7.82033,7.12322
28.7184,12.971
46.754,9.92861
22.4598,31.8286
33.7284,36.5153
29.2736,23.2977
42.0092,30.9955
46.4698,14.9777
40.516,21.839
22.1849,9.38708
41.3582,22.4295
38.6275,47.0382
43.2172,42.4158
37.1494,33.5842
28.2262,33.1096
27.6081,31.0466
35.2328,6.32643
39.0175,31.9868
11.255,11.4774
13.8154,39.9835
42.9927,38.089
13.2811,35.0018
19.0845,9.75093
44.9795,9.6005
26.59,17.1644
13.9876,17.9481
34.5939,47.615
14.9863,27.8112
40.0308,47.1357
11.3953,18.2571
30.2453,34.0034
44.3036,15.4782
35.3298,33.3212
42.465,41.5849
39.7985,6.28036
31.5683,32.7912
39.3694,39.8495
17.793,8.4539
44.6004,12.7725
13.0544,21.1904
24.9369,22.042
34.1385,9.53086
19.657,44.1248
32.342,9.68784
41.2605,38.7374
22.9449,21.5058
22.7407,17.2485
31.984,8.07057
45.5697,24.449
44.6554,35.3682
25.7293,26.2237
18.1594,15.0987
16.0732,30.9524
18.5526,10.6736
38.7249,26.607
26.864,13.6619
43.649,11.0025
18.1927,13.306
5.12725,45.5347
17.9938,41.3878
34.2721,35.9387
12.8936,7.01283
48.1872,39.8776
10.0834,43.7569
14.3266,49.7388
29.1252,35.0559
25.9626,42.2846
45.1546,37.0358
23.237,13.7072
42.7094,11.962
35.3142,19.5733
20.6238,28.9631
25.5758,33.8166
37.2691,25.703
29.3513,5.26294
17.0908,13.6234
36.2017,24.9844
15.6362,34.3889
14.862,20.7196
28.1458,24.1885
20.4584,7.27098
9.24439,41.421
44.5556,49.399
28.4567,17.7926
13.1061,21.1661
24.7546,43.4203
35.7394,40.3784
22.3834,11.3152
24.195,9.65256
32.0182,48.5462
9.9155,44.109
12.1696,41.1172
19.0934,22.8058
25.5061,28.9554
38.5254,48.6519
48.1439,8.98377
5.92288,7.3883
45.4047,45.4784
6.78727,23.8615
13.271,14.8934
40.0276,33.0256
8.3137,25.767
23.404,25.6971
32.0822,42.599
30.3497,14.1005
41.1452,35.2652
8.20949,48.3148
26.3824,22.3029
21.1206,46.8884
46.2583,9.64596
45.5403,44.4022
13.6297,46.4632
46.7905,9.03447
41.9417,48.5778
27.896,5.21269
13.4712,17.9235
33.2383,16.7849
38.6905,6.64231
37.482,20.7727
44.2413,17.8317
29.8732,35.3865
48.0969,33.0827
33.7013,24.4793
5.38559,49.8219
21.3677,46.6439
9.46783,16.9081
41.0461,18.0976
13.3713,37.8366
22.132,5.31294
36.4143,45.028
5.52563,44.8855
12.9515,33.7639
11.6704,46.642
35.4062,44.1524
17.4148,29.6475
11.9841,42.288
15.034,10.081
25.3707,43.7353
29.5603,25.7562
43.5572,45.928
22.4001,48.025
12.8361,13.4462
16.1226,21.2074
46.2828,33.2546
21.5203,32.6971
28.2826,22.046
27.5826,36.2341
5.8099,34.253
32.8761,36.2161
28.4053,45.2909
15.8637,35.3894
37.5789,25.8977
40.4704,12.9495
19.633,20.0307
33.7058,13.1901
15.9587,6.1059
11.2151,23.7949
14.5521,22.3377
40.0022,10.8349
5.59227,11.5226
38.5319,28.8748
28.5685,16.1145
15.1089,29.3784
45.3675,42.9851
15.5946,23.7728
38.276,26.4583
9.16222,25.8549
47.3559,44.6326
33.8044,16.9889
14.6633,17.5102
25.179,25.6221
18.6161,31.3941
44.4169,28.1682
48.7318,34.4192
34.003,49.3241
40.9418,22.535
28.1989,19.5103
33.6495,38.3079
43.8887,29.017
31.293,9.48332
47.7898,19.569
30.9416,6.95206
40.4239,28.2975
46.5847,24.2283
40.2864,11.248
36.7385,15.4654
31.8701,5.3546
41.8596,26.287
28.5228,40.5914
10.7062,12.5258
39.9155,46.648
30.0608,18.1144
16.1583,13.7104
6.42229,10.047
37.7274,32.7152
14.5304,35.5172
47.2842,40.4719
37.4693,37.7081
18.7694,34.054
11.9364,9.05584
40.302,43.6749
19.5213,22.1721
44.0295,11.3808
43.4592,22.5523
46.9722,49.1654
30.0781,36.8877
45.8134,10.139
5.00211,11.9717
18.8493,6.4244
17.0187,6.57675
34.1396,26.5491
37.094,31.4239
17.021,24.5633
19.1319,30.7905
8.61728,26.0683
34.8463,43.9193
19.7432,49.3676
16.0914,13.7726
10.7484,9.55057
31.3249,7.72065
8.71596,11.403
39.6084,49.5294
16.542,39.6105
11.5011,30.3913
41.0349,23.5198
31.9681,25.1745
45.0689,19.0621
6.59837,12.09
38.6254,20.7303
37.8804,42.2427
41.7986,22.7268
36.1619,11.5418
22.0943,47.2533
20.3144,27.8428
6.80392,46.6393
30.5634,10.5199
8.04235,20.1718
10.0492,19.5843
9.78223,16.5503
44.9757,45.8171
35.0701,26.9437
20.9916,30.139
41.0058,22.59
37.229,29.6312
38.3203,25.1094
21.8739,30.1189
42.8362,8.0358
36.6607,14.9305
5.28915,6.97511
37.7733,7.09307
48.6144,18.3367
12.613,6.65679
33.5085,17.6622
21.2411,38.2907
29.2125,16.2168
34.1078,14.2826
38.1605,5.09941
39.4216,29.1664
22.6894,26.6506
8.79756,11.0096
46.76,25.6714
36.1285,39.5962
28.7072,22.7892
49.5267,28.9964
24.7643,37.3
31.0894,23.3788
5.63676,38.7024
25.0356,34.1453
6.36458,41.2767
22.436,30.5771
7.49348,6.54381
39.8597,40.654
6.64322,29.2813
19.8204,24.3326
5.93186,23.6179
30.3422,47.6919
44.2893,16.4708
37.2881,22.9966
34.26,36.8148
46.9929,9.02434
24.1148,28.0824
27.4031,24.7516
16.7848,47.4387
8.89683,18.1493
38.7154,26.3328
43.7264,41.2088
27.8766,33.5861
31.8628,29.5198
12.8673,46.6832
48.8524,13.7992
20.3012,29.1947
11.4911,14.5905
40.6655,43.7791
32.5871,24.9255
30.5939,29.58
28.9498,49.7087
7.66235,6.35293
24.4603,19.4471
48.7916,28.3572
32.5964,37.5069
49.69,26.3228
28.7158,27.5666
9.90891,10.5786
7.08643,17.7763
7.26185,5.93888
26.5755,22.563
30.1336,33.0666
32.1535,20.799
26.8457,14.7406
40.7245,7.43963
39.3205,19.6744
7.14838,41.9829
21.0273,26.6087
11.43,19.8189
49.9659,39.0264
7.32583,49.6558
15.3493,31.0416
27.2224,20.2582
36.6202,29.3088
33.0345,38.8821
30.2477,9.60993
11.4451,10.3813
37.6765,38.5986
26.1803,14.5222
48.3391,16.9049
16.9618,37.6597
31.5792,19.1102
29.6426,47.6065
40.7189,36.0726
17.4254,40.6848
25.099,19.7512
40.3406,35.4483
45.7928,17.563
5.70647,32.4131
41.8718,33.7409
21.2952,22.1196
38.3508,27.7402
27.5008,26.0273
16.3388,48.6812
35.5495,14.678
15.586,47.5114
47.3377,42.1653
16.6216,26.9802
39.7718,7.34046
13.0528,7.19716
43.0252,33.1518
21.9484,33.3658
18.6001,17.7412
45.9288,19.3066
45.1543,37.8006
48.0475,16.4495
9.92017,36.3983
39.1897,32.421
12.4257,5.52854
31.1022,42.9752
15.2065,41.6882
40.4866,12.5442
33.8535,7.10813
34.5244,23.6252
9.44859,42.5773
25.8224,47.4738
25.7291,42.7708
30.8396,39.3292
10.512,26.7684
8.63579,5.66631
14.569,6.68329
17.1158,19.4892
38.0816,6.30548
46.9102,45.5073
6.83402,28.0124
38.4825,17.0405
19.7006,28.9691
24.5847,48.5541
31.0772,9.10914
22.1793,35.5258
46.6864,43.0017
32.9996,22.4155
35.7725,13.8392
11.7447,41.2845
35.6077,15.3805
41.9508,45.1767
17.0638,9.06657
14.6659,5.1454
10.372,11.5761
45.6527,12.2061
34.5885,34.1352
24.2466,49.2891
13.1043,43.8313
47.8431,39.1816
47.9404,20.0224
24.7074,44.6268
13.0241,7.70701
17.0423,43.7966
16.5463,23.787
35.0811,47.1539
34.1675,27.0319
42.3306,46.2313
31.0984,6.99647
46.3767,36.4705
13.5726,42.0294
43.6766,43.161
26.1646,17.9231
42.4501,34.2689
11.7544,40.2933
23.4505,9.69489
10.3157,43.1579
49.3217,18.3398
45.8649,16.3641
12.1364,12.4111
35.1511,42.2175
9.56505,19.3186
19.2494,46.8956
15.5499,45.3478
48.8921,11.9265
31.8183,12.4647
48.9559,25.4949
5.62572,25.1205
38.418,43.0758
9.38947,45.1725
33.3691,27.84
49.8674,38.6848
20.9979,49.1891
7.0246,16.8627
15.5532,14.161
24.2739,45.7042
6.37851,28.8389
15.0228,20.6279
25.7346,25.5727
15.9757,24.6267
32.4992,42.794
32.0914,31.4551
18.2889,32.7171
6.57562,6.70694
25.7929,10.9651
46.8794,9.16202
33.8051,46.7468
42.8468,49.8029
45.9358,44.8714
16.6657,11.489
9.0324,35.9395
7.19323,10.4109
14.7785,17.2161
26.0388,35.5131
37.7887,37.0145
10.1397,20.2879
29.8086,37.2311
46.743,43.0975
19.9482,48.3187
44.8045,40.7411
9.28375,41.6839
44.9031,38.0888
38.4306,37.7499
37.8917,34.3665
32.6213,49.5574
40.8555,36.6537
35.497,43.0487
42.0647,45.2754
10.2648,18.1035
30.7885,43.0535
5.11802,35.9282
13.3414,29.9266
23.1593,10.0845
23.0241,38.1075
8.40312,17.8286
28.8486,12.6869
9.51244,23.7518
45.7757,42.9431
11.5017,33.6674
27.3095,39.123
33.2248,18.165
25.7768,18.7218
11.2137,17.8414
13.9972,16.4784
30.9449,39.7857
9.53193,31.0629
25.7139,17.8733
10.9895,43.8732
22.9578,29.0136
31.9808,26.3609
41.8422,10.8294
34.0478,46.3547
29.5812,29.8235
39.2977,36.0829
13.4909,16.6072
25.2059,41.7157
29.7722,45.9827
10.4375,35.9859
13.8241,19.4347
47.4644,39.769
9.22044,6.99628
20.8319,29.9344
19.8696,26.8214
23.8076,37.8274
5.83501,5.78839
14.1884,42.6772
11.6178,43.2361
39.0319,36.199
23.0596,28.3296
22.2819,31.5505
39.9368,42.4878
23.2663,19.7091
38.4704,28.7038
5.69497,47.2945
43.1385,48.1593
37.0635,47.359
5.15561,7.89537
27.2934,20.0252
29.7167,46.101
7.85268,30.5518
46.8894,17.041
23.229,8.50717
10.2772,12.2609
39.7061,28.3368
35.5905,11.988
9.88734,25.5273
49.4758,28.1536
40.2364,37.9462
6.85742,40.9313
35.2408,44.996
39.0907,22.3043
42.355,39.2463
25.1996,19.6483
9.27153,49.9164
15.7493,12.1242
30.4681,12.6387
24.1652,48.6971
16.1458,29.4424
10.958,5.85198
7.77922,41.5485
12.84,12.6666
17.0758,12.3158
35.8202,7.31217
45.262,37.6776
43.2435,30.5027
32.6736,32.3342
47.807,25.0285
21.5805,23.0067
39.6769,25.852
22.923,5.42616
32.9762,48.3912
13.0648,7.14147
47.0883,24.2107
31.5839,8.04632
25.0626,34.3631
44.5948,32.9026
42.0297,11.6706
40.2184,27.8499
13.9828,35.4804
15.5275,7.22629
15.9831,43.201
34.5605,13.7901
18.2296,6.14097
31.7968,7.90644
26.993,49.7198
8.3326,9.96922
48.111,16.3974
12.1107,45.1993
35.6081,38.6946
48.2456,10.6707
23.0577,42.8404
38.5734,15.0874
49.511,28.7917
37.9372,13.4938
14.2721,48.4647
15.7201,25.2552
41.6658,45.2806
34.0454,9.89534
46.4216,15.8422
12.8018,23.4146
15.562,16.1344
28.3838,13.673
27.5318,35.4945
